sample_id,field_id,class,road_class,urbimpact,water_factor,soil_ph,loi_105_gkg,tc_105_gkg,tn_105_gkg,tic_105_gkg,toc_105_gkg,cn_ratio,Na_40_gkg,Mg_40_gkg,K_40_gkg,Ca_40_gkg,Mn_40_gkg,Fe_40_gkg,P_40_gkg,S_40_gkg,Cu_40_gkg,Zn_40_gkg,Pb_40_gkg,Cd_40_gkg,Al_40_gkg,Si_40_gkg,undissolved_silicates_percent,Na_105_gkg,Mg_105_gkg,K_105_gkg,Ca_105_gkg,Mn_105_gkg,Fe_105_gkg,P_105_gkg,S_105_gkg,Cu_105_gkg,Zn_105_gkg,Pb_105_gkg,Cd_105_gkg,Al_105_gkg,Si_105_gkg
85,airport 5a,Long-term,inf_road,High,1.016981327,8.1,40.54349452,17.05194044,1.006866057,2.734495323,14.31744512,14.21981109,0.126566978,0.942179608,1.508175729,10.4468412,0.287226855,31.69630995,0.725706003,0.245298276,0.032766372,0.219277875,0.093217079,0.00226257,49.43830916,0.187651984,73.00079177,0.128716254,0.958179068,1.533786555,10.62424244,0.292104348,32.23455537,0.738029455,0.249463766,0.033322788,0.223001504,0.094800029,0.002300991,50.27783727,0.190838564
89,airport 6b,Long-term,inf_road,High,1.004276859,6.89,15.82940869,7.046364306,0.600631089,,7.046364306,11.73160104,0.025964373,0.274303969,0.367742773,1.812416886,0.132066286,5.488550465,0.548993171,0.100744481,0.005425229,0.023676331,0.002921758,0.00034353,13.46945175,0.370703472,94.13243923,0.026075418,0.275477129,0.369315557,1.820168337,0.132631115,5.51202422,0.551341138,0.101175351,0.005448432,0.023777591,0.002934254,0.000344999,13.52705869,0.372288918
91,appiadu 1a,Short-term,uninf_road,Low,1.018890759,7.22,57.32140696,25.05756335,2.180809393,0.357908941,24.69965441,11.3259116,0.045630037,0.984396818,1.523204999,2.99457155,0.515356216,28.78513682,0.485401414,0.244800341,0.014755128,0.034700797,0.024303227,0.00194497,53.52344289,0.021194612,74.68531469,0.046492023,1.002992821,1.551979498,3.051141281,0.525091686,29.32890991,0.494571015,0.249424805,0.015033864,0.035356321,0.024762334,0.001981712,54.53454137,0.021594994
95,appiadu 2b,Short-term,uninf_road,Low,1.043930975,5.21,46.97621365,17.39189004,1.591994736,,17.39189004,10.92459016,0.035691869,0.448413246,0.727522259,0.512458568,0.271390675,13.86747773,0.149233582,0.118292195,0.006264461,0.025603627,0.005815697,0.000774876,34.95039617,0.280269764,87.99328296,0.037259848,0.468112477,0.759483021,0.534971372,0.283313132,14.47668954,0.155789558,0.123488886,0.006539665,0.02672842,0.006071186,0.000808917,36.48580114,0.292582288
98,appiadu 3b,Short-term,uninf_road,Low,1.017673731,6.57,52.44501228,16.29295644,1.388106969,0.11901554,16.1739409,11.6517972,0.048731924,0.713215238,0.834755054,1.635727866,0.465262702,20.64122406,0.233785498,0.174006525,0.010709737,0.025304493,0.021180825,0.001118337,51.33111121,0.266774538,80.26948989,0.049593199,0.725820413,0.849508291,1.664637281,0.47348563,21.0060315,0.23791736,0.177081869,0.010899018,0.025751717,0.021555169,0.001138102,52.23832347,0.271489439
101,aputuogya 1b,Short-term,uninf_road,Low,1.009795721,5.94,35.62780664,10.93608766,0.956276548,,10.93608766,11.43611404,0.026674002,0.281842564,0.42861854,0.530118623,0.133038105,12.27805833,0.1081625,0.091109584,0.006371509,0.017340898,0.009371093,0.000747714,25.06287075,0.140512662,90.88345865,0.026935293,0.284603415,0.432817168,0.535311517,0.134341309,12.39833076,0.109222029,0.092002068,0.006433922,0.017510765,0.009462889,0.000755039,25.30837963,0.141889084
105,aputuogya 2c,Short-term,uninf_road,Low,1.011878433,6.23,47.98934627,13.93356603,1.432819862,0.32774232,13.60582371,9.495836896,0.031291943,0.508541434,0.810718032,0.933028528,0.210001282,14.90384938,0.167154555,0.165957945,0.003870788,0.015958518,0.010955525,0.000904587,46.27600633,0.243669994,83.2895888,0.031663642,0.51458211,0.820348092,0.944111445,0.212495768,15.08088377,0.169140089,0.167929266,0.003916767,0.01614808,0.011085659,0.000915332,46.82569279,0.246564411
108,aputuogya 3c,Short-term,uninf_road,Low,1.006891505,5.91,34.15172233,11.58932122,1.060256755,,11.58932122,10.93067426,0.016132159,0.210072966,0.362898708,0.304867272,0.076279056,6.495213056,0.084700296,0.086366663,0.002096789,0.008229653,,0.000156341,19.76562976,0.17043254,93.70567376,0.016243334,0.211520685,0.365399626,0.306968266,0.076804733,6.539974851,0.085284008,0.086961859,0.002111239,0.008286368,,0.000157418,19.90184471,0.171607077
109,asawase 1a,Short-term,inf_road,Mid-low,1.011058351,6.23,41.30150738,15.82580704,1.47086007,0.485287128,15.34051991,10.42962565,0.053095918,0.604075216,1.188047466,1.1730138,0.389461885,18.65663522,0.260753607,0.163609694,0.009507889,0.017560351,0.004279125,0.001771478,28.89988763,0.137169154,85.82677165,0.053683071,0.610755292,1.201185312,1.185985399,0.393768691,18.86294684,0.263637112,0.165418948,0.009613031,0.017754539,0.004326445,0.001791067,29.21947274,0.138686019
114,asawase 2c,Short-term,inf_road,Mid-low,1.011656553,6.21,28.90142587,10.21786273,0.933117903,0.443567657,9.774295077,10.4748768,0.030492328,0.440008143,0.71066527,0.959564521,0.441276589,14.54647155,0.196144815,0.117447115,0.005812459,0.013998591,0.014522267,0.000812782,22.33443202,0.22007893,90.61583578,0.030847764,0.445137121,0.718949177,0.970749736,0.446420353,14.71603327,0.198431188,0.118816144,0.005880213,0.014161766,0.014691547,0.000822256,22.59477451,0.222644291
